상품명,상품특징,대출신청자격,대출금액,대출기간,대출한도,원리금상환방법,인터넷대출,가입채널,대출신청,특례보증,대출금,통장자동대출,대출종류,대출신청시기,대출지급방법,대출금지급,상환방법,대출신청지점,대출대상주택,대출실행(지급),대출대상,대출실행(지급)시기,보험서비스,임차인,보증신청시기,신청자격,보증금액,보증기간,대상주택,인터넷보증,국민카드,KB국민카드,추가대출
KB 공무원우대대출,공무원연금공단과 업무협약에 의해 현직 공무원들에게 퇴직금 또는 재직기간에 따라 가계자금을 대출하는 제도,"공무원 연금법 적용 현직 공무원(군무원포함, 현역 군인 및 사립학교 교직원 제외)으로서 연금취급기관장이 발급하는 「금융기관 알선대출 융자추천서」에 의해 대출을 신청하는 고객으로서 개인신용평가시스템(CSS)에 의해 대출적격자로 판정된 고객 ※다른 협약은행 「공무원생활안정자금대출」 보유 시 대출신청 불가","퇴직금에 의한 대출 : 퇴직금의 1/2범위 내에서 최고 5천만원 이내 재직기간에 의한 대출 : ☞ 재직기간 1년이상 3년 미만: 5백만원 이내 ☞ 재직기간 3년이상 : 1천만원 이내 ※ 이미 취급한 신용대출(KB공무원우대대출, 개인신용등급에 의한 무보증대출 등)이 있는 경우 대출가능금액이 달라질 수 있습니다.",및 상환 방법 일시상환(종합통장자동대출 포함) : 1년(최장 10년까지 기한연장 가능) 원금균등/원리금균등분할상환 : 최저 1년이상 최장 10년 이내 혼합상환(분할상환+일시상환) : 최저 1년이상 최장 10년 이내 ※공무원 퇴직시 : 기한연장 불가,,,"신청시 유의사항 신청방법, 시간, 확인절차, 가능금액, 기타 대출신청방법 * 인터넷대출-국민은행 홈페이지, 스마트폰-KB스타뱅킹, KB스마트대출(www.kbsmartloan.com) 대출신청가능시간 * 24시간(토요일,공휴일 포함) * 시스템 점검에 따른 거래제한 시간(23:50~00:10)은 대출신청 불가 본인신청 확인절차 * 인증+통신사 본인인증 확인 대출신청가능금액 * 최고 5천만원까지(10만원단위) [이미 취급된 'KB공무원 우대대출'(퇴직금에 의한 대출 및 재직기간에 의한 대출포함)과 'KB공무원우대대출Ⅱ'를 차감]) ☞타은행 '공무원생활안정자금대출'을 보유한 고객은 KB인터넷뱅킹/KB스타뱅킹/KB스마트대출을 통한 대출신청 불가 기 타 *「인터넷대출불가등록」신청고객은 인터넷(스마트폰) 대출이 불가능합니다. *KB인터넷대출/KB스타뱅킹/KB스마트대출의 경우 일시상환만 가능합니다.",,,,,,,,,,,,,,,,,,,,,,,,,,
KB 선생님든든 신용대출(교직원),"정규직 교직원이라면 최대 1.5억원까지 여유있게! 『KB선생님든든패키지』와 함께 더 든든하게 이용하세요! '내맘대로 통장자동대출' 선택 시, 최초 약정한 금액 범위 내에서 사용한도의 자유로운 증액과 감액이 가능합니다!","아래 기관에 3개월 이상 재직중인 정규직 교직원(단, 무기계약직 미포함) 1) 초.중.고교 및 대학(원) 교직원 2) 국공립 유치원 교사 3) 교육부 또는 교육(지원)청 소속 공무원",최대 1.5억원 이내 - 종합통장자동대출은 최대 5천만원 이내 ※대출한도는 신용평가결과에 따라 차등 적용됩니다.,및 상환 방법 일시상환(종합통장자동대출 포함) : 1년(최장 10년까지 기한연장 가능) ※ 종합통장자동대출의 경우 아래 중 선택 ① 일반방식 한도거래대출(종합통장자동대출) ② 약정한도 증감방식 한도거래대출(내맘대로통장자동대출) 원금균등/원리금균등분할상환: 최저 1년~최장 5년 이내 - 대출기간의 30% 범위 내에서 최장 12개월까지 거치기간 운용가능,,,,"영업점, KB스타뱅킹, 인터넷뱅킹, KB스마트대출(www.kbsmartloan.com) 비대면을 통한 대출신청 시 유의사항 구분, 기타 대출신청가능시간 * 24시간(토요일,공휴일 포함) * 시스템 점검에 따른 거래제한 시간(23:50~00:10)은 대출신청 불가 본인신청 확인절차 *통신사 본인인증 확인 제출서류 (발급일로부터 1개월 이내) *별도 제출서류 없음 *다만, 행정기관의 심사정보 조회가 불가한 경우, 비대면대출의 '서류제출' 화면을 통해 사진촬영/첨부하거나 아래의 방법으로 서류제출 가능 ① 건강보험 자격득실확인서(직장가입자) 또는 재직증명서 ② 건강/장기요양보험료 납부확인서(최근 12개월) ③ 국세청 홈택스 발급 소득금액증명(근로소득자용) ※ 송부처: 스마트서비스부 비대면채널 전담조직 (전자메일로 발송시 사진파일 등 첨부가능) º(FAX) 02-2073-5344 º(E-MAIL) kb131520@kbfg.com 기 타 *「인터넷대출불가등록」신청고객은 인터넷대출 불가 대출가능금액 * 인터넷/KB스타뱅킹으로 대출신청 시 영업점에서 신청하는 경우와 대출가능금액이 상이할 수 있습니다.",,,,,,,,,,,,,,,,,,,,,,,,,
KB 선생님든든 신용대출(연금수급 고객),"교육직 공무원연금수급자 또는 사학연금수급자 전용 신용대출 상품! 『KB선생님든든패키지』와 함께 더 든든하게 이용하세요! '내맘대로 통장자동대출' 선택 시, 최초 약정한 금액 범위 내에서 사용한도의 자유로운 증액과 감액이 가능합니다!",국민은행으로 연금을 수급중인 아래 연금수급 고객 1) 공무원연금수급자 - 퇴직당시기관이 학교 또는 교육부(교육청)인 경우만 가능 2) 사학연금수급자,최대 5천만원 이내 - 일시상환(종합통장자동대출 포함)은 최대 3천만원 이내 ※대출한도는 신용평가 결과에 따라 차등 적용됩니다.,및 상환 방법 일시상환(종합통장자동대출 포함) : 1년(최장 10년이내 기한연장 가능) ※ 종합통장자동대출의 경우 아래 중 선택 ① 일반방식 한도거래대출(종합통장자동대출) ② 약정한도 증감방식 한도거래대출(내맘대로통장자동대출) 원금균등/원리금균등분할상환: 최저 1년~최장 5년 이내 - 대출기간의 30% 범위 내에서 최장 12개월까지 거치기간 운용가능,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB나라사랑대출(일반자금),국가보훈처와 협약에 따라 나라를 위해 헌신한 국가유공자 등을 위한 전용 상품,"국가보훈처로부터 전자문서로 대출 추천을 받은 국가유공자, 장기복무(10년이상 복무)한 제대군인 고객 대출신청자격 대출종류 대출신청대상 자격구분 주택개량자금 - 건물 신축 후 5년 경과한 소유주택을 개량 하고자 하는 고객 - 국가유공자 생활안정자금 - 일반 및 재해복구 자금 : 가계생활안정자금이 필요한 고객 - 보철용 차량구입 : 보철용차량 구입 고객 - 국가유공자 및 제대군인 (단, 보철용 차량구입은 독립유공자, 상이국가유공자, 5.18민주화운동 부상자에 한함) 학자금 - 본인 또는 자녀의 학자금이 필요한 고객 - 제대군인 사업(부업)자금 - 사업을 하거나 사업 예정인 고객 - 국가유공자 및 제대군인 농토구입자금 - 전, 답, 과수원 구입하시는 고객 - 국가유공자 및 제대군인 ☞ 본인이 국가보훈처에서 별도로 정한 기준에 충족하여 대출추천을 받을 수 있다면 중복대출 및 자금별로 대출신청이 가능합니다.","및 신청시기 대출금액은 국가보훈처 추천금액과 대출가능금액 중 작은 금액 대출가능금액 대출종류 추천금액 대출가능금액 대출신청시기 주택개량자금 - 6백만원 - 공사계약서 또는 견적서상 총 공사비 - 개량공사 완료 전/후 3개월 이내 생활안정자금 - 일반 :3백만원 - 재해복구 : 6백만원 - 보철용 차량구입 : 1천만원 - 일반 : 추천금액 - 재해복구 : 추천금액 - 보철용 차량구입 : 매매대금 이내 - 소요자금 필요시(단, 보철용차량구입의 경우 명의변경 후 3개월 이내) 학자금 - 5백만원 - 등록금 고지서상 등록금 - 소요자금 필요시 사업(부업)자금 - 2천만원 - 매출액의 100% 또는 사업관련 일회성소요자금 - 소요자금 필요시(단, 일회성 소요자금은 3개월이내 지출 (또는 예정)된 경우만 가능 농토구입자금 - 25백만원 - 담보조사가격에 의한 대출가능금액 - 계약서상 잔금납부전 까지 또는 소유권이전 등기 후 3개월 이내",및 상환방법 대출기간은 대출종류에 따라 아래와 같으며 대출상환은 원리금균등분할상환방법으로 한다. · 주택개량자금 : 7년 · 생활안정자금 : 3년(※보철용차량구입자금은 5년) · 학자금 : 5년 · 사업(부대)자금 : 7년 · 농토구입자금 : 13년(거치기간 3년 포함),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB군인든든 신용대출,"장교, 부사관, 군무원 및 장교후보생 등 직업군인을 위한 맞춤 신용대출 상품 '내맘대로 통장자동대출' 선택 시, 최초 약정한 금액 범위 내에서 사용한도의 자유로운 증액과 감액이 가능합니다!","장교, 부사관, 군무원 및 장교후보생(육·해·공군/육군3사/국군간호 사관학교 4학년 생도) 등 군 관련 전체 고객 - 장교 및 군무원 : 재직기간 관계없음(단, 소득발생 1개월 이상 입증 필수) - 부사관은 재직기간 6개월 이상, 하사는 재직기간 2년 이상이어야 함","최대 2억원 이내(종합통장자동대출은 최대 5천만원 이내) - 부사관은 최대 1억 5천만원, 장교후보생·하사는 5백만원 이내 - 재직기간 1년 미만은 최대 5천만원 이내(단, 재직기간 1년 미만 부사관은 최대 3천만원 이내) 최종 대출한도는 고객님의 연소득 및 신용평가결과에 따라 차등 적용됩니다.",및 상환 방법 일시상환(종합통장자동대출 포함) : 1년(최장 10년이내 기한연장 가능) ※ 종합통장자동대출의 경우 아래 중 선택 ① 일반방식 한도거래대출(종합통장자동대출) ② 약정한도 증감방식 한도거래대출(내맘대로통장자동대출) 원(리)금균등분할상환 : 최저 1년~최장 5년 이내 - 대출기간의 30% 범위 내에서 최장 12개월까지 거치기간 운용 가능,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liiv M 폰 드림 대출,Liiv M 서비스 이용 및 이용 예정고객을 대상으로 단말기 구입에 필요한 자금을 지원하고 원금을 분할 상환하는 비대면전용 소액 신용대출상품,Liiv M 기존 이용 또는 신규개통(번호이동) 예정으로 단말기 구입자금이 필요한 고객 * Liiv M(리브모바일) : KB국민은행의 혁신금융서비스로 금융권 최초로 제공하는 이동통신서비스,"고객별 최대 3백만원 이내 (구입예정 단말기 출고가의 120% 이내) - 대출한도 이내에서 최대 2건까지 신청 가능 - 대출 1건 신청시 부속 단말기를 포함하여 단말기 최대 2대까지 선택 가능 예시) 단말기(휴대폰) 1대 + 부속단말기(웨어러블워치, 와이파이 전용 태블릿) 1대","및 상환 방법 대출기간 : 12개월, 24개월, 36개월 상환방법 : 원리금균등 분할상환 ※ 통장자동대출 운용불가",,,,,"대출신청경로 - KB스타뱅킹 > 전체메뉴 > 대출 > 신청 > 대출신청 > 휴대폰대출 > Liiv M 폰 드림 대출 대출신청 가능시간 - 24시간(토요일, 공휴일 포함) - 시스템 점검에 따른 거래제한 시간(23:50-00:10)은 대출신청불가 기타 - 대출신청은 1일 5회, 월 10회만 가능하며, 대출실행은 1일 1회만 가능합니다. - 인터넷대출불가등록 신청고객은 인터넷 대출이 불가능합니다.",,,,,,,,,,,,,,,,,,,,,,,,
군인생활안정자금대출(KB i-STAR 군인생활안정자금대출),군인들을 위한 신용대출,"3년이상 복무한 중사 이상의 현역군인(육군/해군/공군/해병대)으로 국군재정관리단장 발급 「군인생활안정자금 대출추천서」로 대출을 신청하는 고객 ※ 단, 신청일 현재 당행 급여이체 1개월(1회)미만 또는 90일이내 전역예정 고객 제외","3년 이상 복무한 중사 이상 현역군인 : 퇴직급여 예상액 1/2범위 내에서 최고 5천만원 이내(2천만원 까지는 퇴직급여 예상액 범위내) 대령 이상 또는 25년 이상 복무한 원사,준위,중령 현역군인 : 퇴직수당 예상액 범위내에서 최고 8천만원 이내 ※ 복무기간 및 계급 등에 따른 대출금액 범위내에서 「군인생활안정자금 대출추천서」 상의 대출신청금액과 실제 취급하는 대출금액은 일치하여야 합니다.",및 상환 방법 일시상환: 최저 1년~최장 3년이내(최장 10년까지 기한연장 가능) ※종합통장자동대출 운용 불가 원금균등/원리금균등분할상환: 최저 1년~최장 10년이내,,,"신청시 유의사항 신청방법, 시간, 확인절차, 가능금액, 기타 대출신청방법 * 인터넷대출-국민은행 홈페이지 * 스마트폰-KB 스타뱅킹,KB스마트대출(www.kbsmartloan.com) 대출신청가능시간 * 24시간(토요일,공휴일 포함) * 시스템 점검에 따른 거래제한 시간(23:50~00:10)은 대출신청 불가 본인신청 확인절차 * 인증 + 통신사 본인인증 확인 제출서류 * 스크린 스크랩핑을 통한 서류제출(08:00~22:00) *다만, 스크린 스크랩핑을 통한 서류제출이 불가능한 경우 사진 촬영을 통한 아래 서류 제출 ①군인생활안정자금 대출추천서 ☞사진촬영을 통한 서류 제출만 가능 ☞발급일로부터 7일이내(발급일 포함) ② 건강보험자격득실확인서, 건강보험료 납부확인서(최근12개월간) ☞발급일로부터 1개월이내 기 타 *「인터넷대출불가등록」및 「다른 금융기관 군인관련대출 대환」신청고객은 인터넷(스마트폰) 대출이 불가능합니다.",,,,,,,,,,,,,,,,,,,,,,,,,,
KB 햇살론15,「국민행복기금」의 신용보증을 통한 고금리대출 대안 상품 성실상환자 매 1년 마다 국민행복기금 보증료율 인하를 통해 금리부담 경감,"연소득 4천 5백만원 이하이면서 개인신용평점 하위 20% 이하 또는 연소득 3천 5백만원 이하인 고객으로 직업 및 소득이 있으며 국민행복기금의 신용보증서 발급이 가능한 만 19세 이상인 고객 ※ 근로소득자 및 사업소득자 : 재직(사업영위)기간 3개월 이상 연금소득자(국민연금, 공무원연금, 군인연금, 사학연금에 한함) : 연금수령 1회 이상","은행심사 : 최대 7백만원 이내 서민금융진흥원 서민금융통합지원센터를 통한 특례보증심사 : 최대 1천 4백만원 이내 ※ 단, KB국민은행에서 대출받은 「KB 햇살론17을 상환하기 위한 대환 자금」은 최대 KB 햇살론17 대출잔액 범위 이내에서 은행심사로만 신청 가능함",및 상환 방법 대출기간 : 3년 또는 5년 상환방법 : 원리금균등 분할상환(거치기간 없음),,,,,,대출신청시기 「국민행복기금」 신용보증승인접수증 발급일로부터 30일 이내,지급 생계자금 : 고객 본인 명의 국민은행 예금계좌에 입금 햇살론17 대환자금 : KB국민은행에서 대출받은 KB 햇살론17 대출 계좌의 상환,,,,,,,,,,,,,,,,,,,,,,
신용대출 장기분할상환 전환제도,만기도래시 연체발생 우려가 있는 대출 또는 원리금 연체기간이 90일 미만인 일시상환 대출을 상환부담을 완화할 수 있는 분할 신용대출로 전환,개인신용평가시스템(CSS) 등에 의해 산출된 의무상환금액(잔액 X 의무상환비율(최대 20%))만큼을 상환한 신용관리정보 등록이 없는 고객,전환대출 신청시점의 대출잔액 ※ 통장자동대출은 실제대출잔액 기준,및 상환 방법 대출기간: 최저 1년 이상 최장 10년 이내 ※ 거치기간 운용불가 상환방법: 원금균등분할상환 또는 혼합상환(일시상환 + 원리금균등분할상환),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB 사업자든든 신용대출,"자영업자 및 프리랜서 고객님들의 가계 생활안정자금 지원을 위한 상품 '내맘대로 통장자동대출' 선택 시, 최초 약정한 금액 범위 내에서 사용한도의 자유로운 증액과 감액이 가능하며, 추가 우대금리가 제공됩니다.","다음 중 어느 하나에 해당하는 고객 ① 사업자등록증을 소지하고 현재 사업을 영위하고 있는 자영업자 ② 사업소득원천징수 대상자: 보험설계사, 자동차딜러, 학습지교사, 프리랜서, 직업운동가 등","최대 1억원 이내 (종합통장자동대출은 최대 5천만원 이내) ※ 대출한도는 신용평가 결과에 따라 차등 적용됩니다. ※ 전년도 또는 당해년도 사업개시로 소득증빙서류가 발급되지 않는 개인사업자의 경우, KB 국민카드 매출액의 일부를 추정소득으로 인정하여 대출한도를 부여합니다. [→ 최근 3개월 이상 연속 KB국민카드 매출실적 발생 & 매출대금 결제계좌가 KB국민은행인 가맹점대표에 한하며, 일부 제한업종은 불가]","및 상환 방법 일시상환(종합통장자동대출 포함) : 1년(최장 5년이내 기한연장 가능) ※ 종합통장자동대출의 경우 아래 중 선택 ① 일반방식 한도거래대출(종합통장자동대출) ② 약정한도 증감방식 한도거래대출(내맘대로통장자동대출) 원(리)금균등분할상환 : 최저 1년~최장 5년 이내 - 대출기간의 30% 범위 내에서 최장 12개월까지 거치기간 운용 가능 - 대출기간 중 거치기간은 변경할 수 없으나, 거치기간 종료는 거치기간 중 가능",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB 군인연금 협약대출,군인연금을 수령하고 있는 고객을 대상으로 대출한도 및 금리를 우대하여 제공하는 신용대출,"군인연금법에 의해 매월 당행 계좌로 연금을 수령하며, 개인신용평가시스템(CSS) 심사기준을 충족하는 고객",최대 2억원 이내 - 일시상환(종합통장자동대출 포함): 최대 3천만원 이내 - 분할상환: 최대 2억원 이내 ※대출한도는 신용평가결과에 따라 차등 적용됩니다.,및 상환 방법 일시상환(종합통장자동대출 포함) : 1년(최장 10년까지 기한연장 가능) 원금균등/원리금균등분할상환: 최저 1년~최장 5년 이내 - 대출기간의 30% 범위 내에서 최장 12개월까지 거치기간 운용가능,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KT 관련 재직직원에 대한 대출,#NAME?,"- KT, KT DS 임직원으로 개인신용평가시스템(CSS)에 의해 대출적격자로 판정된 고객","- 근무년수에 따라 차등 적용하며 KB국민은행 기준에 의한 무보증 신용대출한도와 비교하여 고객에게 유리한 대출한도(최고 2억원 이내,종합통장자동대출은 5천만원 이내) 적용 (단, KT 긴급생활자금 대부추천서 제출시 대출금액은 대부추천금액 범위내 최고 3천만원 이내) ▣ 근무년수 대출한도 ㅇ15년 이상 : 연소득의 130% ㅇ15년 미만 : 연소득의 120% ※ KB국민은행 및 타 금융기관의 신용대출(현금서비스 포함)이 있는 경우 대출한도 차감",및 상환 방법 1년이내 일시상환(10년이내에서 퇴직시까지 기한연장 가능),,#NAME?,,,,,,"가능(단, 6/12개월변동금리에 한해 가능)",▣ 종합통장자동대출 ▣ 가계일반자금대출,,,,,,,,,,,,,,,,,,,,
공무원 연금수급권자 신용대출,공무원연금을 당행으로 1회 이상 이체받고 있는 고객을 위한 신용대출,"공무원 퇴직연금(유족,장해연금 포함))을 매월(1회 이상)국민은행 계좌를통해수령하고, 개인신용평가시스템(CSS)에 의해 대출적격자로 판정된 고객",최고 3천만원 이내 (종합통장자동대출의 경우 최고 1천만원 이내) ※대출한도는 이미 취급된 무보증 신용대출이 있는 경우 대출가능금액이 달라질 수 있습니다.,및 상환 방법 원리금균등 분할상환 : 최저 1년 이상 최장 5년 이내 종합통장자동대출 : 1년 (기한연장 가능),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
에이스(ACE) 전문직 무보증대출,"전문직에 근무하시는 분들께 무보증으로 간편하게 대출해 드리는 상품입니다. '내맘대로 통장자동대출' 선택 시, 최초 약정한 금액 범위 내에서 사용한도의 자유로운 증액과 감액이 가능하며, 추가 우대금리가 제공됩니다.","일정한 국내자격증을 소지한 현직종사자로서 수의사, 약사, 공인회계사, 세무사, 관세사, 변리사, 기술사, 도선사, 건축사, 법무사, 감정평가사, 공인노무사, 손해사정인 * 기사 및 기능사자격증 소지자 제외",최고 2억원 이내(종합통장자동대출은 최고 5천만원 이내) (자격증 종류 및 연소득과 신용등급에 따라 차등 적용) ※기취급한 당행 및 타금융기관의 신용대출금을 차감한 금액으로 운용,"및 상환 방법 1년 원금일시상환 * 은행에서 정한 기준을 만족하는 경우 최장 10년까지 기한연장 가능 ※ 종합통장자동대출의 경우 아래 중 선택 ① 일반방식 한도거래대출(종합통장자동대출) ② 약정한도 증감방식 한도거래대출(내맘대로통장자동대출) 최저 1년 이상 ~ 최장 5년 이내 원금균등, 원리금균등분할상환",,"개별거래 ㅇ 일시상환 : 대출원금은 만기일에 일시상환하고 이자는 대출잔액에 대하여 매월 후취 ㅇ 분할상환 : 원금은 약정된 분할상환납입일에 균등분할상환하고, 이자는 원금상환방법과 동일한 월단위로 후취 한도거래(종합통장자동대출) ㅇ 대출원금은 기일에 모계좌에 입금하여 상환하고, 이자는 은행이 정한 매월 결산일에 원단위로 상환",,,,,,가능(최대한도 5천만원),,,,,,,,,,,,,,,,,,,,,
KB닥터론,"의사 전용 신용대출로 대출한도 및 대출금리를 우대한 상품 '내맘대로 통장자동대출' 선택 시, 최초 약정한 금액 범위 내에서 사용한도의 자유로운 증액과 감액이 가능하며, 추가 우대금리가 제공됩니다.","근로소득 또는 사업소득이 있는 현직의사(전문의, 레지던트, 인턴, 군의관, 공중보건의 포함), 한의사, 치과의사, 또는 개업예정의(의사, 한의사, 치과의사), 의대본과 4학년 및 의사면허합격자(치의대,한의대 포함)로서 개인신용평가시스템(CSS)에 의해 대출적격자로 판정된 고객",최고 3억원 이내 (종합통장자동대출의 경우 최고 5천만원 이내) (현직종사유형 및 연소득과 신용등급에 따라 대출한도 차등 적용) ※총 대출한도에서 기취급 당·타행 신용대출금액을 차감한 금액으로 운용,"및 상환 방법 일시상환, 통장자동대출 : 1년(기한연장시 최장 10년) ※ 종합통장자동대출의 경우 아래 중 선택 ① 일반방식 한도거래대출(종합통장자동대출) ② 약정한도 증감방식 한도거래대출(내맘대로통장자동대출) 원금균등, 원리금균등 분할상환 : 최저 1년 이상 ~ 5년이내 (6개월이내 거치가능)",,,,,,,,가능 (최대한도 5천만원),,,,,,,,,,,,,,,,,,,,,
KB 햇살론17(2021.7.6 판매중단),「국민행복기금」의 신용보증을 통한 고금리대출 대안 상품 성실상환자 매 1년 마다 국민행복기금 보증료율 인하를 통해 금리부담 경감,"연소득 4천 5백만원 이하이면서 국민행복기금 신용등급 6등급 이하 또는 연소득 3천 5백만원 이하인 고객으로 직업 및 소득이 있으며, 국민행복기금의 신용보증서 발급이 가능한 만 19세 이상인 고객 ※ 근로소득자 및 사업소득자 : 재직(사업영위)기간 3개월 이상 연금소득자(국민연금, 공무원연금, 군인연금, 사학연금에 한함) : 연금수령 1회 이상","최소 50만원 이상 최대 7백만원 이내 ※ 단, 서민금융진흥원 서민금융통합지원센터를 통한 특례보증은 최대 1천 4백만원 이내",및 상환 방법 대출기간 : 3년 또는 5년 상환방법 : 원리금균등 분할상환(거치기간 없음),,,,,,대출신청시기 「국민행복기금」 신용보증승인접수증 발급일로부터 30일 이내,지급 생계자금 : 고객 본인 명의 국민은행 예금계좌에 입금 대환자금 : 고객이 작성한 「대환대출 채무 내역 및 송금 요청서」 상의 해당 채권기관 명의 상환계좌로 입금,,,,,,,,,,,,,,,,,,,,,,
KB 사잇돌 중금리대출,고금리와 저금리 사이 공백을 채워 서민의 생활안정자금을 지원하는 중금리대출 상품 납입지연 없이 성실히 상환하시는 고객님께 매년 0.3%p씩 금리인하 제공!,"서울보증보험(주)의 보험증권 발급이 가능한 급여소득자, 사업소득자, 공적연금소득자 중 아래 기준을 충족하고 증빙서류 제출이 가능한 개인고객 대출신청자격 구분 재직기준 소득기준 급여소득자 현직장 재직기간 3개월 이상 연소득 1천 5백만원 이상 사업소득자 현 사업영위기간 6개월 이상 연소득 1천만원 이상 공적연금 소득자주) 연금수령 1회 이상 주) 공적연금 : 국민연금, 공무원연금, 군인연금, 사학연금",최대 2천만원 이내 ※ 서울보증보험(주)의 보증가능금액 이내에서 가능,및 상환 방법 대출기간 : 12개월 이상~60개월 이내(월 단위 신청 가능) 상환방법 : 원(리)금균등 분할상환(거치기간 없음),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB 브릿지보증대출,지역신용보증재단의 보증서 대출을 이용중인 당행 폐업 개인사업자 고객의 채무부담 경감 및 재창업을 위한 재기지원을 위한 대출상품,"당행 지역신용보증재단의 보증서 사업자대출을 보유중으로, 보증만기가 1개월 이내인 폐업사업자(개인사업자)로서, 지역신용보증재단의 브릿지보증서 발급을 승인받은 고객","지역신용보증재단의 「브릿지보증서」 보증금액 범위 내 ※ 브릿지보증으로 회수되는 구 보증서 사업자대출잔액 범위 이내임 대출기간 및 상환 방법 대출기간 : 최소1년이상 최장5년 이내(연단위, 거치기간 운용불가) 상환방법 : 원금균등분할상환 브릿지보증 및 대출신청시기 만기도래(보증만기) 1개월 이내 시점부터 지역신용보증재단에 브릿지보증 신청가능 * 신용보증재단중앙회 전화번호 : 1588-7365 대출신청 및 실행은 지역신용보증재단의 신용보증 승인통지일로부터 30일 이내임 대출금 지급 브릿지보증 대출금으로 구 보증서 사업자대출계좌 상환",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB 내맘대로 마이너스 통장,자유로운 한도조절 기능을 부여한 종합통장자동대출 상품,1년 이상 재직중인 직장인으로서 당행 신용평가등급(CSS) 1~4등급 이내,"최대 1억원 이내 ※ 연소득 최대 150% 이내, 국민은행 및 타은행 신용대출이 있는 경우 한도조정 ※ 대출한도는 신용평가결과에 따라 차등 적용됩니다.",및 상환 방법 일시상환(종합통장자동대출) : 1년(최장 10년이내 기한연장 가능),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB 안전망대출II,법정최고금리 인하에 따라 연20%초과 고금리 대출 만기 시 재이용이 어려워진 고객을 지원하기 위하여 「국민행복기금」의 신용보증을 통해 제도권 금융기관의 대출로 전환해주기 위한 한시적 대환상품,"연20% 초과 고금리대출* 이용고객 중 연소득 4천 5백만원 이하이면서 개인신용평점 하위 20% 이하 또는 연소득 3천 5백만원 이하인 고객으로 직업 및 소득이 있으며 국민행복기금 신용보증서 발급이 가능한 만 19세 이상인 고객 법정 최고금리 인하일(‘21.7.7) 전 실행된 대출에 한함 ※ 근로소득자 및 사업소득자 : 재직(사업영위)기간 3개월 이상 연금소득자(국민연금, 공무원연금, 군인연금, 사학연금에 한함) : 연금수령 1회 이상",국민행복기금 신용보증금액 범위 내 최대 2천만원 이내 ※ 서민금융진흥원 서민금융통합지원센터 특례보증심사로만 가능하며 최대 고금리대출 상환예정 대출금액 범위 이내,및 상환 방법 대출기간 : 3년 또는 5년 상환방법 : 원리금균등 분할상환(거치기간 없음),,,,,,대출신청시기 「국민행복기금」 신용보증승인접수증 발급일로부터 30일 이내,지급 「대환대출 채무 내역 및 송금 요청서」 상의 해당 채권기관 명의 상환계좌로 입금,,,,,,,,,,,,,,,,,,,,,,
KB 햇살론뱅크,정책서민금융상품을 성실하게 상환한 고객에게 제도권 금융지원을 위한 “징검다리” 상품 교육·컨설팅 이수자 및 사회적배려 대상자 서민금융진흥원 보증료율 우대,"정책서민금융상품을 성실하게 상환한 고객 중 부채가 감소하거나 신용도가 개선된 고객으로, 연소득이 3천5백만원 이하(신용평점 무관) 또는 개인신용평점 하위 20% 이하인 경우 연소득 4천5백만원인 저소득자로서 「서민금융진흥원」 신용보증서 발급이 가능한 만 19세 이상인 고객 ① 정책서민금융상품 : 미소금융, 근로자햇살론, 사업자햇살론, 햇살론youth, 햇살론15, 햇살론17, 바꿔드림론, 안전망대출, 안전망대출Ⅱ, 새희망홀씨 ② 정책서민금융상품 성실 상환 고객 : 정책서민금융상품을 1년 이상 성실하게 상환한 고객(현재 정상 이용 중이거나, 최근 1년 이내 완제자) ③ 재직 기준 - 근로소득자 및 사업소득자 : 재직(사업영위)기간 3개월 이상 - 연금소득자(국민연금, 공무원연금, 군인연금, 사학연금에 한함) : 연금수령 1회 이상","최소 5백만원, 최대 2천만원 (10만원 단위)",및 상환 방법 대출기간 : 3년 또는 5년 (거치기간 1년 운용 가능) 원리금균등 분할상환,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
